loan_type,loan_amount_lakh,borrower_income_lakh,credit_score,tenure_months,default
Services_NonPriority,1.93,7.32,701,24,0
Services_NonPriority,2.02,8.33,651,36,0
Industry_NonPriority,3.32,3.47,643,120,0
Personal_NonPriority,1.09,6.76,740,120,0
Agriculture,0.97,9.53,650,120,0
Agriculture,0.8,9.06,593,12,0
Services_NonPriority,1.82,6.48,698,120,0
Personal_NonPriority,0.54,7.18,787,60,0
Agriculture,2.15,6.66,532,24,0
Services_Priority,1.52,7.16,682,36,0
Agriculture,3.22,9.27,740,120,1
Services_Priority,1.09,2.1,590,36,0
Services_NonPriority,1.44,7.78,687,240,0
Industry_NonPriority,3.19,9.05,631,60,0
Personal_Priority,3.73,6.29,639,36,0
Personal_Priority,1.08,6.56,675,36,0
Agriculture,1.82,6.65,632,12,0
Services_Priority,1.94,6.56,627,60,0
Services_NonPriority,2.04,8.02,696,60,0
Personal_NonPriority,1.39,8.39,833,60,0
Personal_NonPriority,3.51,1.7,745,60,0
Agriculture,0.52,9.96,760,120,0
Personal_NonPriority,1.26,7.13,747,36,0
Services_NonPriority,2.13,13.8,658,60,0
Services_NonPriority,2.14,4.43,718,60,0
Industry_NonPriority,3.66,5.4,765,24,0
Personal_Priority,3.34,7.39,749,240,0
Services_Priority,1.37,9.24,711,60,0
Agriculture,3.55,2.15,731,12,0
Services_Priority,1.06,5.51,847,120,0
Services_Priority,2.85,9.77,750,240,0
Industry_NonPriority,4.82,5.16,681,120,0
Services_NonPriority,3.37,12.11,695,36,0
Industry_NonPriority,1.73,6.64,636,240,0
Agriculture,1.33,5.3,840,24,1
Personal_NonPriority,0.65,9.83,796,60,0
Personal_NonPriority,1.96,12.82,704,24,0
Services_NonPriority,0.83,9.25,830,36,0
Personal_NonPriority,1.01,11.78,737,240,0
Industry_NonPriority,0.8,13.03,674,120,0
Personal_NonPriority,1.23,5.23,754,120,0
Agriculture,1.6,10.82,723,36,0
Personal_Priority,1.92,3.43,750,240,1
Services_Priority,1.14,9.27,617,36,0
Industry_Priority,3.09,7.79,651,12,0
Agriculture,1.44,11.73,789,60,0
Services_NonPriority,1.01,11.52,801,36,0
Services_NonPriority,1.86,9.71,784,24,0
Industry_NonPriority,5.29,8.9,833,240,0
Agriculture,1.99,9.53,734,60,0
Personal_NonPriority,1.31,8.19,730,240,0
Services_NonPriority,0.65,7.82,645,60,0
Personal_Priority,1.43,12.33,665,12,0
Services_NonPriority,1.87,12.69,580,12,0
Services_Priority,1.29,7.58,680,240,0
Personal_Priority,0.6,8.71,576,12,0
Personal_NonPriority,0.98,8.24,764,60,0
Services_Priority,3.9,3.16,723,36,0
Industry_NonPriority,3.85,6.99,578,60,0
Personal_NonPriority,0.96,12.8,688,36,0
Services_NonPriority,2.44,5.75,818,12,0
Agriculture,0.8,14.34,692,60,0
Agriculture,3.78,11.52,640,36,0
Agriculture,1.89,9.2,592,60,0
Services_NonPriority,2.88,9.68,594,120,0
Industry_NonPriority,0.58,5.25,732,60,0
Agriculture,2.44,7.2,673,36,0
Personal_NonPriority,1.62,12.32,678,60,0
Industry_NonPriority,2.71,6.16,674,240,0
Services_Priority,2.82,11.18,691,60,0
Industry_NonPriority,1.69,3.87,626,60,0
Services_NonPriority,1.13,4.41,718,120,0
Agriculture,2.6,13.7,614,120,0
Services_Priority,1.57,7.96,654,36,0
Personal_NonPriority,0.96,6.38,760,240,0
Industry_NonPriority,0.94,12.09,722,12,0
Industry_NonPriority,0.67,11.74,741,240,0
Industry_NonPriority,1.2,10.76,829,24,0
Agriculture,3.15,6.29,696,36,0
Industry_Priority,1.81,7.14,701,120,0
Industry_NonPriority,1.18,8.93,684,24,0
Industry_Priority,2.64,10.08,673,24,0
Agriculture,0.99,6.47,639,60,0
Personal_NonPriority,1.72,8.51,705,60,0
Personal_NonPriority,1.46,8.8,721,12,0
Services_NonPriority,2.6,11.86,724,36,0
Personal_NonPriority,0.63,10.26,703,36,0
Services_Priority,0.98,3.48,755,36,0
Personal_NonPriority,0.61,7.36,701,60,0
Industry_Priority,1.39,5.21,675,24,0
Personal_NonPriority,3.37,9.7,644,36,0
Personal_NonPriority,1.2,10.77,607,60,0
Services_NonPriority,1.2,8.3,787,120,0
Personal_NonPriority,2.75,7.2,658,60,0
Industry_NonPriority,3.09,8.21,644,12,0
Services_Priority,1.54,8.63,674,60,0
Industry_NonPriority,2.45,6.08,683,120,0
Industry_NonPriority,0.85,4.34,798,60,0
Agriculture,3.72,1.85,680,36,0
Services_NonPriority,5.91,11.8,850,240,0
Personal_NonPriority,2.23,9.49,703,60,0
Industry_Priority,0.47,9.09,823,120,0
Services_NonPriority,1.16,11.8,753,60,0
Personal_NonPriority,2.35,4.23,721,24,0
Personal_NonPriority,1.26,2.79,794,36,0
Personal_NonPriority,3.49,9.15,767,60,1
Industry_NonPriority,2.32,8.88,738,36,0
Personal_NonPriority,1.07,2.81,839,36,0
Services_NonPriority,1.66,9.08,670,12,0
Industry_Priority,0.95,6.8,640,120,1
Industry_NonPriority,1.46,5.58,659,120,0
Services_NonPriority,1.17,7.0,805,36,0
Services_Priority,3.29,0.68,787,60,0
Services_NonPriority,5.79,6.23,668,24,0
Services_NonPriority,0.69,5.89,558,60,0
Industry_Priority,0.51,9.67,687,36,0
Industry_NonPriority,1.4,7.53,639,60,0
Services_NonPriority,0.65,9.92,670,36,0
Industry_NonPriority,1.67,0.35,636,36,0
Agriculture,2.55,5.48,603,36,0
Agriculture,3.99,9.67,812,12,0
Personal_Priority,1.84,7.07,658,240,0
Personal_NonPriority,1.45,10.54,784,12,0
Services_Priority,0.5,2.59,686,36,0
Services_NonPriority,1.65,10.19,632,36,0
Services_Priority,1.7,6.08,730,36,0
Personal_Priority,2.39,5.79,676,60,0
Personal_NonPriority,1.06,10.97,687,36,0
Services_NonPriority,1.25,11.49,708,36,0
Agriculture,0.67,11.1,651,12,0
Industry_NonPriority,0.41,14.12,602,24,0
Agriculture,0.84,11.8,696,36,0
Industry_NonPriority,0.63,5.61,757,120,0
Services_NonPriority,1.99,8.42,645,24,0
Agriculture,1.19,6.92,709,60,1
Services_Priority,1.18,14.09,790,120,0
Personal_Priority,0.9,11.31,694,36,0
Personal_NonPriority,0.23,7.43,705,60,0
Personal_NonPriority,4.02,10.63,703,60,0
Agriculture,0.89,4.3,659,60,0
Services_NonPriority,1.27,8.75,640,120,0
Personal_Priority,0.68,5.19,640,36,0
Personal_Priority,2.92,2.93,722,24,0
Services_NonPriority,1.77,10.35,745,60,0
Personal_NonPriority,0.99,10.73,748,12,0
Personal_NonPriority,1.29,9.37,677,36,0
Industry_NonPriority,4.45,7.45,765,120,0
Personal_Priority,1.56,4.2,718,60,0
Services_NonPriority,1.46,4.52,704,36,0
Services_Priority,0.93,5.09,499,36,0
Industry_NonPriority,0.52,7.3,650,36,0
Personal_Priority,1.48,11.23,608,24,0
Services_NonPriority,1.98,11.18,737,120,0
Services_Priority,3.15,3.05,705,240,0
Industry_Priority,0.42,5.92,635,60,0
Personal_NonPriority,0.83,5.84,718,12,0
Agriculture,1.15,0.41,614,120,0
Industry_NonPriority,1.62,9.7,637,120,1
Services_Priority,1.49,7.26,657,240,0
Agriculture,1.51,7.66,732,60,0
Agriculture,2.08,12.04,783,60,0
Industry_Priority,0.95,8.26,664,60,0
Personal_NonPriority,2.85,6.71,779,12,0
Services_Priority,2.11,9.72,702,60,0
Personal_NonPriority,1.34,11.18,714,60,0
Industry_NonPriority,4.25,8.89,696,60,0
Industry_NonPriority,4.14,10.07,688,60,0
Industry_NonPriority,2.85,7.56,726,60,0
Industry_NonPriority,0.27,7.75,744,60,1
Services_NonPriority,4.2,8.34,646,24,0
Services_Priority,2.62,5.74,688,120,1
Personal_Priority,5.42,6.3,800,60,0
Personal_NonPriority,3.42,12.13,710,60,0
Personal_NonPriority,4.2,14.02,717,36,0
Personal_NonPriority,2.76,12.78,770,240,0
Industry_NonPriority,3.66,4.03,669,60,0
Services_NonPriority,5.38,3.74,697,60,0
Industry_NonPriority,1.85,4.43,749,240,0
Industry_NonPriority,0.63,8.4,774,240,0
Industry_Priority,1.35,-0.43,558,60,1
Industry_NonPriority,2.06,6.23,655,24,0
Industry_Priority,1.7,12.22,640,240,0
Personal_Priority,0.77,10.95,692,240,0
Personal_NonPriority,0.61,6.47,644,24,0
Industry_Priority,1.04,6.7,739,36,0
Agriculture,2.64,9.7,710,60,0
Agriculture,4.2,10.81,753,12,0
Personal_NonPriority,2.82,6.4,757,24,0
Industry_NonPriority,3.07,7.3,740,60,0
Industry_NonPriority,1.55,6.3,679,240,0
Personal_NonPriority,0.57,4.01,706,12,0
Personal_NonPriority,1.24,7.34,672,240,0
Personal_Priority,1.39,7.11,618,120,0
Services_NonPriority,1.21,4.22,757,120,0
Services_NonPriority,1.68,9.94,694,36,0
Services_NonPriority,2.12,9.45,609,36,0
Industry_Priority,2.72,10.09,732,36,0
Personal_NonPriority,1.38,5.7,686,240,0
Industry_NonPriority,0.52,2.05,576,60,0
Services_Priority,1.22,9.4,617,12,0
Industry_NonPriority,1.67,6.01,657,36,0
Agriculture,3.39,5.33,712,36,0
Agriculture,1.16,4.23,747,240,0
Services_NonPriority,2.21,7.17,745,60,0
Agriculture,1.94,12.73,736,60,0
Industry_NonPriority,1.67,6.48,697,12,0
Industry_NonPriority,2.84,4.73,803,120,0
Agriculture,1.09,9.96,741,60,0
Personal_NonPriority,1.15,8.52,713,240,0
Services_Priority,1.62,1.64,733,36,0
Services_Priority,1.11,9.99,676,60,0
Services_Priority,2.21,14.39,696,36,0
Services_Priority,1.06,0.2,575,24,0
Agriculture,1.86,4.29,676,36,0
Services_NonPriority,1.53,-0.55,805,12,0
Personal_NonPriority,1.85,7.77,708,36,0
Services_Priority,1.24,10.97,706,60,0
Services_NonPriority,1.33,8.32,759,24,0
Services_NonPriority,1.72,12.18,721,36,0
Personal_NonPriority,1.84,10.49,652,36,0
Industry_NonPriority,1.62,13.11,701,60,0
Services_Priority,4.53,11.48,631,24,0
Personal_Priority,0.9,6.79,711,60,0
Services_NonPriority,1.57,8.2,649,36,0
Personal_NonPriority,0.63,5.39,755,36,0
Industry_Priority,2.03,7.31,669,60,0
Personal_Priority,0.83,8.19,650,24,0
Personal_NonPriority,1.38,7.75,693,240,0
Personal_NonPriority,1.3,12.03,721,240,0
Personal_NonPriority,1.93,7.01,627,60,0
Services_NonPriority,1.17,5.2,668,36,0
Personal_Priority,1.14,5.39,706,60,0
Industry_NonPriority,3.85,9.97,780,60,0
Services_NonPriority,1.93,3.79,548,36,0
Agriculture,1.16,7.4,736,36,1
Industry_NonPriority,1.4,11.98,676,24,0
Services_NonPriority,4.37,8.88,670,24,0
Industry_Priority,1.41,7.78,659,60,0
Services_NonPriority,1.08,7.89,678,120,0
Industry_NonPriority,1.08,4.91,737,36,0
Personal_NonPriority,1.17,5.43,667,24,0
Agriculture,1.14,7.41,799,12,1
Services_Priority,0.76,8.81,737,36,1
Services_NonPriority,0.83,10.84,711,24,0
Services_Priority,0.99,8.28,690,36,0
Services_NonPriority,2.32,12.06,771,24,0
Services_NonPriority,1.29,12.82,780,60,0
Agriculture,1.44,10.39,630,60,0
Industry_NonPriority,3.49,11.67,657,240,0
Industry_NonPriority,3.54,5.03,738,60,0
Personal_Priority,1.37,4.55,756,24,0
Personal_NonPriority,1.11,9.55,681,120,0
Personal_NonPriority,0.97,3.98,655,24,0
Services_NonPriority,2.47,7.13,704,60,0
Services_NonPriority,1.44,10.31,788,12,0
Industry_NonPriority,1.29,12.24,702,12,1
Personal_NonPriority,1.0,7.24,624,36,0
Services_NonPriority,1.03,6.05,706,24,0
Services_NonPriority,1.97,8.96,746,36,0
Personal_NonPriority,0.74,4.78,693,36,0
Services_Priority,2.96,7.48,775,120,0
Personal_NonPriority,1.18,7.98,751,36,0
Industry_Priority,1.49,7.92,696,36,0
Personal_Priority,0.73,8.27,702,120,0
Personal_Priority,1.62,5.5,589,24,0
Personal_NonPriority,1.34,5.82,772,120,0
Personal_NonPriority,1.58,5.76,680,120,0
Services_NonPriority,3.94,3.14,676,240,0
Services_NonPriority,1.81,9.03,667,36,0
Industry_NonPriority,1.01,10.68,727,36,0
Personal_NonPriority,1.06,10.39,632,60,0
Industry_NonPriority,2.33,7.21,640,12,0
Personal_Priority,3.55,5.57,696,12,0
Industry_Priority,1.93,10.23,662,36,0
Services_NonPriority,2.46,9.92,720,60,0
Services_NonPriority,2.35,8.65,664,24,0
Personal_Priority,3.81,13.23,795,60,0
Agriculture,0.51,7.92,741,36,0
Personal_NonPriority,2.43,7.23,740,60,0
Agriculture,2.94,6.8,663,36,0
Services_NonPriority,0.73,3.32,844,24,0
Personal_NonPriority,0.96,9.98,673,24,0
Industry_NonPriority,0.98,7.68,657,24,0
Services_Priority,1.05,9.53,742,24,0
Services_NonPriority,1.22,13.53,711,36,0
Personal_NonPriority,1.88,6.83,650,240,0
Industry_NonPriority,2.74,0.99,831,60,1
Personal_NonPriority,3.11,9.44,758,120,0
Agriculture,0.98,8.5,700,240,0
Industry_NonPriority,0.98,5.8,844,60,0
Services_NonPriority,3.58,9.19,748,24,0
Personal_NonPriority,2.4,10.36,699,240,0
Industry_Priority,1.71,5.16,836,60,0
Personal_NonPriority,2.16,7.1,739,240,0
Industry_NonPriority,1.6,12.43,736,60,0
Personal_Priority,2.23,5.84,676,120,0
Agriculture,1.33,8.2,702,120,0
Personal_NonPriority,1.91,0.13,675,120,0
Industry_Priority,0.66,3.55,786,60,0
Services_Priority,1.08,8.47,603,36,0
Services_Priority,1.08,11.68,781,120,0
Personal_NonPriority,1.3,3.91,647,120,0
Services_NonPriority,0.93,8.22,696,36,0
Services_NonPriority,1.18,6.87,682,36,0
Services_Priority,0.66,10.86,668,60,0
Services_NonPriority,2.26,4.35,741,12,0
Industry_NonPriority,1.55,9.29,699,24,0
Personal_NonPriority,0.59,6.04,659,36,0
Personal_NonPriority,0.99,8.67,709,120,0
Agriculture,1.99,8.21,658,36,1
Services_NonPriority,1.17,7.24,667,60,0
Agriculture,1.07,9.43,610,120,0
Industry_NonPriority,1.56,8.13,672,36,0
Services_Priority,2.0,7.6,729,24,0
Services_Priority,0.69,6.93,702,240,0
Personal_Priority,2.26,8.23,808,60,0
Services_NonPriority,1.01,8.67,850,24,0
Personal_Priority,1.61,5.03,672,120,0
Services_NonPriority,1.59,6.95,650,120,0
Industry_NonPriority,1.19,4.83,767,120,0
Agriculture,0.88,7.88,720,36,0
Services_NonPriority,1.37,6.22,768,36,0
Services_Priority,4.32,10.31,723,60,0
Industry_NonPriority,0.72,10.02,688,36,0
Services_NonPriority,4.49,5.23,688,12,0
Personal_Priority,1.39,7.99,725,24,0
Agriculture,1.66,9.92,687,60,0
Personal_Priority,0.85,7.47,773,36,0
Personal_NonPriority,1.02,5.82,621,12,0
Services_NonPriority,1.2,4.72,772,120,0
Services_NonPriority,0.87,10.56,587,36,0
Services_NonPriority,1.44,10.71,708,36,0
Industry_Priority,1.27,7.38,680,60,0
Industry_NonPriority,4.94,10.3,609,36,0
Services_NonPriority,0.81,-0.9,576,60,0
Agriculture,1.73,11.98,634,12,1
Services_Priority,1.89,7.53,702,12,0
Services_Priority,0.86,8.43,663,60,0
Industry_NonPriority,2.46,7.04,637,240,0
Personal_NonPriority,1.28,12.19,781,36,0
Agriculture,0.36,4.82,626,60,0
Industry_NonPriority,2.42,12.42,740,24,0
Industry_Priority,0.83,9.19,646,36,0
Personal_NonPriority,0.87,9.87,632,12,0
Agriculture,2.46,7.01,663,120,0
Industry_NonPriority,1.32,4.08,737,36,0
Services_NonPriority,2.82,10.79,617,24,0
Services_NonPriority,3.36,8.93,717,60,0
Industry_NonPriority,1.11,12.08,642,24,0
Personal_Priority,2.62,7.42,653,24,0
Personal_Priority,1.03,6.74,724,24,0
Services_Priority,6.21,12.16,830,240,0
Industry_Priority,1.07,13.74,645,24,0
Industry_NonPriority,3.01,8.03,743,240,0
Services_Priority,2.7,5.74,681,24,0
Services_Priority,1.97,10.43,671,12,0
Services_NonPriority,1.09,7.24,764,120,0
Personal_NonPriority,1.49,9.8,649,60,0
Services_NonPriority,0.45,7.22,630,36,0
Agriculture,1.86,12.69,727,60,0
Agriculture,2.01,5.9,795,36,0
Personal_NonPriority,1.76,9.44,744,60,0
Services_Priority,0.27,6.53,615,60,0
Agriculture,0.76,7.16,663,12,0
Industry_NonPriority,1.04,6.76,758,240,0
Services_NonPriority,1.94,10.22,794,36,0
Services_NonPriority,1.94,10.76,713,24,0
Services_Priority,1.47,9.67,665,36,0
Agriculture,2.38,7.68,798,120,0
Personal_NonPriority,0.88,8.42,695,36,0
Services_Priority,2.35,10.69,663,60,0
Services_NonPriority,2.16,10.79,653,240,0
Services_NonPriority,2.04,-0.07,628,60,0
Services_NonPriority,1.46,7.18,850,60,0
Services_Priority,4.88,7.33,785,24,0
Services_Priority,2.19,10.01,660,60,0
Industry_NonPriority,0.91,7.8,803,36,0
Personal_NonPriority,1.89,10.16,731,240,0
Personal_NonPriority,2.56,4.76,728,24,0
Agriculture,1.14,8.78,656,36,1
Industry_Priority,3.13,10.7,669,12,0
Personal_NonPriority,2.05,3.58,697,36,0
Services_NonPriority,0.4,15.54,582,24,0
Personal_NonPriority,1.95,11.57,670,120,0
Industry_Priority,1.28,8.0,700,240,0
Industry_NonPriority,2.25,5.51,778,60,0
Services_NonPriority,2.87,7.47,663,24,0
Services_NonPriority,1.83,8.25,748,36,0
Industry_NonPriority,4.42,9.32,576,240,0
Agriculture,1.46,12.5,770,24,0
Industry_NonPriority,2.37,6.57,645,60,0
Services_Priority,2.64,9.69,707,36,0
Industry_NonPriority,1.54,4.12,724,240,0
Personal_NonPriority,2.6,6.76,712,36,0
Personal_Priority,1.14,9.13,693,12,0
Personal_NonPriority,1.26,10.07,625,60,0
Industry_Priority,0.74,5.74,646,36,0
Services_NonPriority,1.88,6.68,759,60,0
Personal_NonPriority,1.98,12.38,664,24,0
Agriculture,3.3,11.49,693,60,0
Agriculture,2.62,8.63,610,36,0
Industry_NonPriority,1.37,1.29,751,60,0
Agriculture,0.8,15.53,620,120,0
Services_NonPriority,2.11,7.94,754,240,0
Personal_NonPriority,3.17,7.06,636,120,0
Industry_NonPriority,2.56,6.43,760,120,0
Services_Priority,3.12,9.13,700,60,0
Industry_NonPriority,1.43,9.16,666,12,0
Services_NonPriority,1.23,10.85,796,60,0
Agriculture,1.05,5.22,695,24,0
Industry_NonPriority,1.57,7.06,678,24,0
Services_NonPriority,1.55,14.09,754,60,0
Services_NonPriority,1.84,8.67,611,60,0
Services_Priority,1.51,7.48,548,36,0
Services_NonPriority,1.5,5.18,769,120,0
Agriculture,1.02,9.52,649,240,0
Industry_Priority,2.86,11.09,751,60,0
Personal_NonPriority,1.7,10.62,702,60,0
Services_NonPriority,1.47,7.22,630,36,0
Agriculture,1.04,9.08,736,240,0
Services_Priority,0.73,13.01,675,36,0
Industry_Priority,3.57,11.21,635,120,0
Services_Priority,2.27,5.65,636,240,0
Services_Priority,0.61,0.36,596,60,0
Agriculture,2.57,8.89,724,120,0
Industry_NonPriority,2.83,10.4,643,36,0
Services_NonPriority,1.75,4.73,697,240,0
Services_NonPriority,4.25,7.97,689,60,0
Services_NonPriority,1.85,7.21,643,36,0
Agriculture,0.7,8.31,608,12,0
Personal_NonPriority,2.03,6.37,850,60,0
Personal_NonPriority,1.89,11.87,697,120,0
Personal_NonPriority,1.13,8.44,809,120,0
Personal_NonPriority,2.3,5.36,769,120,0
Personal_NonPriority,0.6,10.75,680,24,0
Industry_NonPriority,2.95,4.21,710,36,0
Industry_Priority,0.96,11.85,709,60,0
Services_NonPriority,0.9,10.97,810,60,0
Services_NonPriority,1.52,12.17,749,36,0
Services_NonPriority,2.11,7.53,651,60,0
Industry_NonPriority,1.8,6.51,721,60,0
Agriculture,1.04,8.25,748,60,0
Personal_Priority,1.2,7.75,629,60,0
Personal_NonPriority,0.82,6.04,729,60,0
Industry_NonPriority,1.42,6.34,780,24,0
Industry_NonPriority,3.1,6.9,648,120,0
Services_Priority,1.62,4.49,656,24,0
Personal_Priority,2.73,10.03,769,60,0
Personal_NonPriority,3.9,7.84,678,24,0
Services_NonPriority,1.14,7.07,641,60,0
Services_NonPriority,1.46,4.67,752,120,0
Industry_NonPriority,5.99,4.52,734,12,1
Services_NonPriority,3.87,13.81,705,240,0
Services_Priority,0.6,6.12,767,12,0
Services_NonPriority,2.05,9.83,771,12,0
Industry_NonPriority,1.63,8.49,695,120,0
Industry_NonPriority,2.67,-0.33,818,60,0
Services_NonPriority,1.04,13.38,795,24,0
Personal_NonPriority,0.98,10.05,580,240,0
Agriculture,1.08,5.7,638,60,0
Personal_NonPriority,1.15,7.91,564,24,1
Services_Priority,2.65,4.55,680,120,0
Industry_NonPriority,0.8,13.48,627,36,0
Agriculture,1.12,5.28,651,36,1
Services_Priority,0.56,6.43,765,120,0
Industry_NonPriority,2.98,5.81,594,60,0
Agriculture,3.49,8.24,707,60,0
Industry_NonPriority,1.34,12.11,707,120,0
Personal_NonPriority,1.36,13.37,695,120,0
Agriculture,2.14,6.8,707,24,0
Services_NonPriority,3.94,9.13,566,120,0
Industry_NonPriority,2.08,8.25,651,36,0
Services_NonPriority,1.07,5.06,792,36,0
Services_Priority,0.62,15.27,628,240,0
Industry_Priority,0.83,12.09,799,120,0
Industry_Priority,1.7,8.57,615,36,0
Agriculture,1.1,12.75,608,60,0
Industry_Priority,1.83,11.64,642,60,0
Services_NonPriority,1.17,8.25,767,24,0
Personal_NonPriority,0.86,8.98,667,120,0
Personal_NonPriority,0.8,12.54,720,120,0
Services_NonPriority,4.16,5.16,704,120,0
Agriculture,2.77,13.02,696,60,0
Services_Priority,4.6,7.32,776,24,0
Services_Priority,2.25,12.57,746,120,0
Services_Priority,1.26,7.98,631,36,0
Industry_NonPriority,3.6,9.01,683,12,0
Industry_NonPriority,1.6,7.9,804,240,0
Personal_Priority,1.86,6.4,719,120,0
Personal_Priority,1.59,7.19,609,60,0
Personal_NonPriority,0.28,12.14,613,12,0
Services_NonPriority,4.26,1.06,753,24,0
Services_Priority,2.19,4.28,742,36,0
Personal_NonPriority,1.98,5.82,644,60,0
Personal_NonPriority,1.57,4.76,744,60,0
Personal_Priority,1.8,12.53,795,120,0
Personal_Priority,1.14,11.77,787,60,0
Industry_NonPriority,2.36,9.78,796,60,0
Personal_NonPriority,0.74,6.09,733,120,0
Personal_NonPriority,1.82,12.01,689,60,0
Agriculture,2.28,3.24,675,240,0
Personal_Priority,1.44,14.43,698,120,0
Industry_NonPriority,2.03,5.95,647,24,0
Industry_NonPriority,0.9,7.21,678,240,0
Industry_Priority,0.91,6.71,776,24,0
Personal_NonPriority,1.88,4.78,603,240,0
Services_NonPriority,2.45,13.78,607,60,0
Personal_NonPriority,0.53,10.37,749,60,0
Personal_NonPriority,2.23,11.65,678,36,0
Services_NonPriority,1.17,4.33,584,24,0
Industry_NonPriority,1.45,8.54,696,24,0
Services_NonPriority,0.73,9.56,687,120,0
Industry_Priority,0.98,8.81,674,36,0
Services_NonPriority,2.91,4.52,741,60,0
Industry_Priority,1.66,11.23,620,240,0
Services_NonPriority,1.29,8.36,700,36,0
Services_Priority,1.52,5.14,687,120,0
Agriculture,2.18,2.43,702,36,0
Industry_Priority,2.12,9.82,596,24,0
Agriculture,1.56,15.35,668,120,0
Services_NonPriority,3.14,4.95,701,60,0
Services_NonPriority,2.91,8.51,732,12,0
Industry_NonPriority,2.09,11.33,810,60,0
Industry_Priority,1.68,4.19,748,120,0
Agriculture,2.41,6.56,727,12,0
Agriculture,1.97,5.42,776,36,0
Industry_Priority,3.08,10.95,681,120,0
Personal_NonPriority,2.79,11.98,793,120,0
Services_Priority,0.88,8.48,767,120,0
Personal_Priority,0.85,5.47,673,36,0
Agriculture,1.07,6.67,815,60,0
Services_Priority,2.92,6.11,726,60,0
Industry_NonPriority,0.63,5.07,831,24,0
Services_NonPriority,2.06,7.69,718,60,0
Services_Priority,2.02,9.72,666,60,0
Agriculture,3.27,9.47,653,120,0
Personal_Priority,1.81,7.98,678,24,0
Services_Priority,0.73,8.17,665,36,0
Industry_Priority,0.92,7.76,776,60,0
Personal_NonPriority,0.8,4.11,698,60,0
Services_NonPriority,1.18,8.48,603,60,0
Industry_NonPriority,1.46,6.25,712,36,0
Industry_NonPriority,0.81,3.96,707,12,0
Industry_NonPriority,3.93,9.11,671,60,0
Industry_NonPriority,0.73,6.16,716,240,0
Services_NonPriority,3.65,8.68,697,120,0
Services_NonPriority,3.31,10.54,738,60,0
Industry_Priority,2.79,5.15,734,240,0
Industry_NonPriority,1.07,8.28,721,36,0
Industry_NonPriority,2.0,2.57,622,60,0
Personal_NonPriority,0.76,12.6,827,12,0
Services_NonPriority,2.81,3.92,606,240,0
Industry_NonPriority,1.56,6.46,692,60,0
Agriculture,1.27,12.02,634,36,0
Services_NonPriority,0.78,7.3,723,12,0
Agriculture,0.37,4.41,708,36,0
Personal_Priority,0.87,10.14,689,12,0
Agriculture,3.17,10.07,791,36,0
Services_NonPriority,1.28,6.1,766,240,0
Industry_Priority,1.47,6.43,680,24,0
Personal_Priority,2.41,6.69,748,60,0
Personal_NonPriority,4.81,7.38,793,24,0
Industry_Priority,3.6,2.32,766,120,0
Industry_NonPriority,0.91,7.46,691,60,0
Industry_NonPriority,0.51,13.35,604,24,0
Agriculture,6.7,5.31,719,120,1
Services_NonPriority,6.35,6.25,740,120,0
Agriculture,1.82,4.45,653,240,0
Industry_NonPriority,0.76,9.84,701,12,0
Industry_NonPriority,2.9,11.61,695,36,0
Services_NonPriority,1.53,11.54,783,240,0
Services_NonPriority,1.52,4.26,811,120,0
Services_Priority,2.78,9.5,770,120,0
Agriculture,1.99,12.3,694,60,0
Services_NonPriority,0.8,9.53,768,60,0
Industry_NonPriority,1.34,9.44,738,120,0
Personal_NonPriority,2.42,6.59,695,12,0
Personal_NonPriority,2.21,8.66,825,60,0
Personal_NonPriority,1.9,11.71,655,120,0
Industry_NonPriority,2.85,8.98,736,12,0
Personal_Priority,1.31,4.26,750,36,0
Services_NonPriority,1.81,6.63,682,36,0
Industry_NonPriority,0.21,11.63,733,120,0
Industry_Priority,1.24,8.97,756,120,0
Personal_NonPriority,2.57,8.36,714,60,0
Personal_NonPriority,1.29,6.34,728,120,0
Industry_NonPriority,1.23,11.57,706,36,0
Agriculture,0.87,12.99,747,120,0
Personal_Priority,2.97,11.79,686,24,0
Personal_NonPriority,2.26,12.33,681,60,0
Personal_NonPriority,2.67,6.92,701,24,0
Industry_Priority,0.58,6.5,771,12,0
Agriculture,1.48,7.53,595,36,0
Personal_NonPriority,1.38,8.12,645,36,0
Personal_Priority,1.38,12.29,836,120,0
Industry_NonPriority,1.12,11.5,716,60,0
Personal_NonPriority,1.32,9.62,675,24,0
Agriculture,2.71,3.71,747,240,0
Services_NonPriority,0.52,2.94,652,36,0
Agriculture,4.73,8.72,573,240,1
Personal_Priority,2.18,10.64,721,240,0
Personal_NonPriority,1.59,7.76,656,60,0
Industry_NonPriority,2.8,13.74,706,12,0
Personal_NonPriority,0.68,4.75,719,60,0
Industry_NonPriority,1.09,4.37,708,120,0
Personal_Priority,1.51,6.01,597,36,0
Services_Priority,3.69,5.89,701,24,0
Personal_Priority,1.58,9.58,726,120,0
Personal_Priority,2.13,6.73,615,60,0
Agriculture,1.14,3.36,608,24,0
Personal_Priority,2.18,10.67,635,240,0
Industry_NonPriority,4.45,2.72,744,240,0
Services_NonPriority,2.96,4.79,580,36,0
Services_NonPriority,1.55,3.13,749,12,0
Services_NonPriority,2.44,8.62,723,60,0
Agriculture,2.3,8.56,684,36,0
Industry_Priority,2.21,13.75,611,12,0
Services_NonPriority,3.17,10.74,652,120,0
